iter	Passed	Remaining
349	8930	16584
350	8953	16555
351	8975	16523
352	8999	16494
353	9022	16465
354	9044	16433
355	9067	16402
356	9090	16372
357	9111	16339
358	9132	16306
359	9156	16278
360	9178	16245
361	9199	16212
362	9222	16184
363	9245	16154
364	9270	16127
365	9291	16094
366	9313	16063
367	9336	16034
368	9358	16003
369	9381	15974
370	9407	15949
371	9431	15921
372	9454	15893
373	9477	15863
374	9501	15835
375	9525	15808
376	9549	15781
377	9572	15750
378	9595	15722
379	9620	15696
380	9642	15666
381	9666	15638
382	9687	15606
383	9710	15577
384	9735	15551
385	9757	15521
386	9781	15493
387	9806	15468
388	9828	15437
389	9853	15412
390	9877	15385
391	9903	15360
392	9925	15330
393	9950	15304
394	9972	15274
395	9993	15242
396	10016	15213
397	10037	15182
398	10059	15152
399	10083	15125
400	10104	15093
401	10127	15065
402	10149	15034
403	10171	15004
404	10195	14977
405	10218	14949
406	10239	14919
407	10263	14892
408	10286	14864
409	10310	14837
410	10334	14809
411	10356	14780
412	10381	14755
413	10404	14727
414	10427	14699
415	10449	14670
416	10471	14639
417	10496	14615
418	10519	14587
419	10544	14561
420	10565	14530
421	10589	14503
422	10615	14479
423	10637	14451
424	10662	14425
425	10685	14398
426	10708	14369
427	10732	14343
428	10755	14315
429	10777	14286
430	10799	14257
431	10821	14227
432	10845	14201
433	10868	14174
434	10893	14149
435	10917	14122
436	10942	14098
437	10965	14069
438	10986	14039
439	11012	14015
440	11034	13986
441	11057	13959
442	11080	13932
443	11102	13902
444	11125	13875
445	11148	13847
446	11172	13822
447	11193	13792
448	11217	13765
449	11240	13737
450	11262	13709
451	11287	13684
452	11310	13657
453	11331	13628
454	11356	13602
455	11376	13572
456	11407	13554
457	11431	13527
458	11452	13499
459	11476	13472
460	11496	13441
461	11520	13415
462	11545	13390
463	11567	13361
464	11587	13332
465	11609	13303
466	11630	13274
467	11652	13246
468	11676	13220
469	11699	13192
470	11721	13164
471	11742	13135
472	11766	13109
473	11790	13083
474	11813	13056
475	11837	13031
476	11861	13005
477	11884	12978
478	11905	12949
479	11927	12921
480	11951	12895
481	11973	12867
482	11995	12840
483	12024	12819
484	12051	12796
485	12072	12768
486	12096	12742
487	12118	12714
488	12141	12687
489	12166	12662
490	12188	12635
491	12210	12607
492	12237	12584
493	12262	12560
494	12292	12540
495	12316	12515
496	12339	12488
497	12361	12461
498	12384	12434
499	12405	12405
500	12428	12378
501	12450	12351
502	12473	12324
503	12497	12299
504	12521	12273
505	12547	12249
506	12569	12222
507	12590	12193
508	12615	12169
509	12637	12141
510	12661	12116
511	12684	12089
512	12706	12062
513	12729	12035
514	12752	12009
515	12775	11983
516	12798	11956
517	12819	11928
518	12843	11903
519	12864	11874
520	12887	11848
521	12915	11826
522	12940	11802
523	12966	11778
524	12995	11758
525	13018	11731
526	13042	11706
527	13065	11679
528	13090	11654
529	13113	11628
530	13142	11607
531	13165	11581
532	13187	11554
533	13209	11527
534	13232	11500
535	13252	11472
536	13277	11448
537	13300	11421
538	13324	11396
539	13347	11370
540	13371	11344
541	13392	11317
542	13414	11289
543	13439	11265
544	13462	11239
545	13484	11212
546	13508	11186
547	13531	11161
548	13556	11136
549	13580	11111
550	13604	11086
551	13627	11060
552	13650	11033
553	13672	11007
554	13695	10980
555	13718	10954
556	13740	10928
557	13761	10900
558	13786	10876
559	13808	10849
560	13829	10821
561	13853	10796
562	13874	10769
563	13895	10741
564	13918	10716
565	13941	10690
566	13963	10663
567	13988	10639
568	14008	10611
569	14029	10583
570	14054	10559
571	14076	10532
572	14101	10508
573	14121	10480
574	14143	10453
575	14167	10429
576	14190	10403
577	14212	10376
578	14236	10351
579	14259	10325
580	14284	10301
581	14307	10275
582	14331	10250
583	14353	10224
584	14374	10197
585	14398	10172
586	14420	10145
587	14444	10120
588	14468	10095
589	14490	10069
590	14512	10043
591	14534	10017
592	14557	9991
593	14580	9966
594	14603	9940
595	14628	9916
596	14653	9891
597	14678	9867
598	14700	9841
599	14721	9814
600	14745	9789
601	14768	9763
602	14792	9738
603	14813	9712
604	14833	9684
605	14854	9657
606	14880	9634
607	14903	9608
608	14928	9584
609	14949	9557
610	14974	9533
611	14996	9507
612	15019	9482
613	15044	9458
614	15066	9431
615	15088	9405
616	15111	9380
617	15133	9354
618	15158	9330
619	15180	9304
620	15202	9277
621	15225	9252
622	15246	9226
623	15270	9201
624	15295	9177
625	15318	9151
626	15340	9125
627	15363	9100
628	15383	9073
629	15405	9047
630	15428	9022
631	15455	8999
632	15476	8973
633	15497	8946
634	15523	8922
635	15546	8897
636	15570	8872
637	15592	8847
638	15613	8820
639	15637	8795
640	15659	8770
641	15681	8744
642	15703	8719
643	15725	8693
644	15746	8666
645	15771	8642
646	15794	8617
647	15816	8591
648	15839	8566
649	15864	8542
650	15887	8517
651	15910	8491
652	15932	8466
653	15955	8441
654	15979	8416
655	16002	8391
656	16024	8365
657	16046	8340
658	16069	8315
659	16092	8290
660	16114	8264
661	16137	8239
662	16160	8214
663	16184	8189
664	16206	8163
665	16229	8139
666	16251	8113
667	16274	8088
668	16298	8064
669	16321	8038
670	16343	8013
671	16366	7988
672	16388	7963
673	16410	7937
674	16436	7913
675	16458	7888
676	16483	7864
677	16506	7839
678	16530	7815
679	16552	7789
680	16573	7763
681	16597	7738
682	16618	7713
683	16642	7688
684	16666	7664
685	16687	7638
686	16713	7614
687	16734	7589
688	16758	7564
689	16781	7539
690	16803	7514
691	16827	7489
692	16851	7465
693	16874	7440
694	16897	7415
695	16921	7390
696	16944	7365
697	16965	7340
698	16987	7314
699	17011	7290
700	17031	7264
701	17054	7239
702	17078	7215
703	17099	7189
704	17123	7165
705	17145	7139
706	17167	7114
707	17190	7090
708	17213	7065
709	17234	7039
710	17257	7014
711	17279	6989
712	17300	6963
713	17323	6939
714	17345	6914
715	17367	6888
716	17391	6864
717	17412	6839
718	17435	6814
719	17457	6789
720	17481	6764
721	17504	6739
722	17525	6714
723	17547	6689
724	17570	6664
725	17593	6639
726	17615	6614
727	17636	6589
728	17657	6564
729	17680	6539
730	17705	6515
731	17725	6489
732	17748	6464
733	17772	6440
734	17795	6416
735	17817	6391
736	17841	6366
737	17862	6341
738	17887	6317
739	17907	6291
740	17929	6266
741	17952	6242
742	17975	6217
743	18001	6193
744	18021	6168
745	18043	6143
746	18065	6118
747	18087	6093
748	18110	6069
749	18134	6044
750	18156	6019
751	18178	5995
752	18200	5970
753	18221	5945
754	18243	5920
755	18266	5895
756	18287	5870
757	18308	5845
758	18332	5820
759	18356	5796
760	18378	5771
761	18402	5747
762	18430	5724
763	18455	5700
764	18480	5677
765	18503	5652
766	18524	5627
767	18547	5602
768	18569	5578
769	18591	5553
770	18614	5528
771	18636	5503
772	18660	5479
773	18688	5456
774	18715	5433
775	18738	5408
776	18766	5386
777	18795	5363
778	18818	5338
779	18847	5315
780	18872	5291
781	18900	5268
782	18928	5245
783	18954	5222
784	18984	5199
785	19011	5176
786	19037	5152
787	19064	5128
788	19090	5105
789	19117	5081
790	19145	5058
791	19173	5035
792	19200	5011
793	19230	4989
794	19257	4965
795	19284	4942
796	19311	4918
797	19340	4895
798	19366	4871
799	19393	4848
800	19421	4825
801	19445	4800
802	19472	4777
803	19498	4753
804	19524	4729
805	19551	4705
806	19577	4682
807	19606	4658
808	19636	4636
809	19670	4614
810	19691	4589
811	19713	4564
812	19737	4539
813	19759	4515
814	19781	4490
815	19806	4466
816	19828	4441
817	19853	4417
818	19875	4392
819	19897	4367
820	19920	4343
821	19943	4318
822	19968	4294
823	19990	4269
824	20012	4245
825	20036	4220
826	20059	4196
827	20081	4171
828	20103	4146
829	20126	4122
830	20149	4097
831	20171	4073
832	20194	4048
833	20218	4024
834	20241	3999
835	20267	3975
836	20290	3951
837	20313	3926
838	20334	3902
839	20356	3877
840	20381	3853
841	20403	3828
842	20424	3803
843	20446	3779
844	20470	3754
845	20495	3730
846	20517	3706
847	20541	3681
848	20566	3657
849	20588	3633
850	20611	3608
851	20634	3584
852	20656	3559
853	20681	3535
854	20704	3511
855	20729	3487
856	20750	3462
857	20773	3438
858	20798	3413
859	20819	3389
860	20844	3365
861	20867	3340
862	20889	3316
863	20912	3291
864	20933	3267
865	20959	3243
866	20982	3218
867	21004	3194
868	21026	3169
869	21048	3145
870	21071	3120
871	21096	3096
872	21118	3072
873	21141	3047
874	21163	3023
875	21185	2998
876	21211	2974
877	21233	2950
878	21258	2926
879	21280	2901
880	21304	2877
881	21328	2853
882	21349	2828
883	21375	2804
884	21396	2780
885	21421	2756
886	21443	2731
887	21467	2707
888	21492	2683
889	21514	2659
890	21538	2634
891	21559	2610
892	21580	2585
893	21601	2561
894	21622	2536
895	21645	2512
896	21666	2487
897	21688	2463
898	21710	2439
899	21731	2414
900	21754	2390
901	21778	2366
902	21801	2341
903	21823	2317
904	21846	2293
905	21869	2268
906	21891	2244
907	21915	2220
908	21937	2196
909	21959	2171
910	21983	2147
911	22003	2123
912	22026	2098
913	22047	2074
914	22071	2050
915	22094	2026
916	22118	2002
917	22141	1977
918	22165	1953
919	22194	1929
920	22218	1905
921	22241	1881
922	22264	1857
923	22285	1833
924	22308	1808
925	22329	1784
926	22353	1760
927	22374	1735
928	22399	1711
929	22421	1687
930	22444	1663
931	22466	1639
932	22490	1615
933	22514	1590
934	22537	1566
935	22561	1542
936	22583	1518
937	22605	1494
938	22628	1470
939	22650	1445
940	22671	1421
941	22695	1397
942	22718	1373
943	22742	1349
944	22767	1325
945	22789	1300
946	22815	1276
947	22838	1252
948	22862	1228
949	22886	1204
950	22911	1180
951	22933	1156
952	22955	1132
953	22979	1108
954	23002	1083
955	23025	1059
956	23047	1035
957	23070	1011
958	23093	987
959	23117	963
960	23140	939
961	23165	915
962	23188	890
963	23211	866
964	23232	842
965	23255	818
966	23275	794
967	23298	770
968	23321	746
969	23342	721
970	23365	697
971	23390	673
972	23411	649
973	23432	625
974	23457	601
975	23480	577
976	23503	553
977	23526	529
978	23547	505
979	23572	481
980	23595	456
981	23619	432
982	23641	408
983	23662	384
984	23683	360
985	23706	336
986	23726	312
987	23748	288
988	23771	264
989	23797	240
990	23824	216
991	23853	192
992	23880	168
993	23909	144
994	23932	120
995	23953	96
996	23975	72
997	23997	48
998	24019	24
999	24042	0
