iter	Logloss
0	0.624807413
1	0.5683008719
2	0.5183167172
3	0.4775435048
4	0.4439392086
5	0.413710313
6	0.390544266
7	0.3689805002
8	0.3491356093
9	0.3321016552
10	0.3173991689
11	0.3043013587
12	0.2935784035
13	0.2840541588
14	0.2752281771
15	0.2670350086
16	0.2592493924
17	0.2529198664
18	0.2489877198
19	0.2443085314
20	0.2400819744
21	0.2360055284
22	0.2323125378
23	0.2280726271
24	0.2250284439
25	0.2222277684
26	0.2193845507
27	0.2170746818
28	0.2143472688
29	0.2121462919
30	0.210001725
31	0.2082768794
32	0.2059208893
33	0.2038697616
34	0.2019332508
35	0.2000290817
36	0.1987555359
37	0.1970730709
38	0.1955702635
39	0.1940608477
40	0.1930946892
41	0.1918808705
42	0.1909383396
43	0.1898805914
44	0.1888514936
45	0.188146736
46	0.1871147927
47	0.1860840239
48	0.1853789628
49	0.184402029
50	0.1835877224
51	0.1823508425
52	0.1814790828
53	0.1807289771
54	0.1800357091
55	0.1789835713
56	0.1785685722
57	0.1776910042
58	0.1768665197
59	0.1762115889
60	0.175305436
61	0.1744092303
62	0.1739164613
63	0.1730673966
64	0.1724643185
65	0.1716294778
66	0.1711970337
67	0.1708183621
68	0.1701575569
69	0.1696599603
70	0.1691183491
71	0.1687014829
72	0.1683653561
73	0.1677926475
74	0.1675034189
75	0.1669119759
76	0.1663543053
77	0.1658106447
78	0.1651246778
79	0.1645919709
80	0.164190435
81	0.1636475106
82	0.1633460782
83	0.1628184948
84	0.162539797
85	0.1620827744
86	0.1616825689
87	0.1612037532
88	0.1608233846
89	0.1602857582
90	0.1597478552
91	0.1592235992
92	0.1588982143
93	0.1584835629
94	0.158101672
95	0.1579350486
96	0.15749339
97	0.1572461742
98	0.1567729036
99	0.1564371597
100	0.1561354936
101	0.1559492962
102	0.155657911
103	0.1552045923
104	0.1545242619
105	0.1541952366
106	0.1538135193
107	0.1534390975
108	0.1529941709
109	0.1525986251
110	0.1524163296
111	0.1520085088
112	0.1515508641
113	0.151316654
114	0.1510167588
115	0.1507685202
116	0.1503170687
117	0.149989061
118	0.1497802046
119	0.1495892887
120	0.1491883497
121	0.1488980838
122	0.1486301684
123	0.1481265987
124	0.147777195
125	0.1473523639
126	0.1471893639
127	0.1468161254
128	0.1464950187
129	0.1461448389
130	0.1459280488
131	0.1456667827
132	0.1452800181
133	0.1450762002
134	0.1447747701
135	0.1443647506
136	0.1440790791
137	0.1438022484
138	0.1434517316
139	0.1431142251
140	0.1427392255
141	0.1425335829
142	0.1423780386
143	0.1422437766
144	0.1418626891
145	0.14156732
146	0.1414587605
147	0.1411772718
148	0.1407981075
149	0.1405766797
150	0.140315501
151	0.1400405669
152	0.1397259886
153	0.1395647933
154	0.1391436678
155	0.1387565859
156	0.1386996952
157	0.1385472526
158	0.1382487579
159	0.1381422928
160	0.1379808407
161	0.1376480055
162	0.1373555732
163	0.1371094108
164	0.1368730272
165	0.1367026655
166	0.1365364193
167	0.1362803369
168	0.1360003565
169	0.1356162765
170	0.1353082012
171	0.1350386195
172	0.1347378361
173	0.1345180014
174	0.1343907454
175	0.1342535363
176	0.1340558552
177	0.133858339
178	0.13361724
179	0.1333961058
180	0.133257748
181	0.1329822041
182	0.1326670818
183	0.1325363972
184	0.1323408839
185	0.1321634267
186	0.131998081
187	0.1318091422
188	0.1315068204
189	0.1312338559
190	0.131060893
191	0.1308414705
192	0.1305746895
193	0.1303798468
194	0.1302035711
195	0.1300143407
196	0.1296678645
197	0.1295105975
198	0.1292646168
199	0.1290794125
200	0.128784032
201	0.128582416
202	0.1283545739
203	0.1281645575
204	0.1279966038
205	0.1277353129
206	0.1274663127
207	0.1273617276
208	0.1271401423
209	0.126853563
210	0.1267090288
211	0.1265178155
212	0.1262828965
213	0.1261194112
214	0.1259180245
215	0.1258425267
216	0.1256158514
217	0.1254383595
218	0.125201038
219	0.1250507579
220	0.1249055635
221	0.1246216968
222	0.1244475669
223	0.1242278936
224	0.1239156232
225	0.1236913006
226	0.1234446398
227	0.1232649533
228	0.1230595939
229	0.1228393342
230	0.1227092442
231	0.1225285393
232	0.1223611043
233	0.1220608498
234	0.1218807756
235	0.1216147721
236	0.121423889
237	0.1212824828
238	0.1209768517
239	0.120708406
240	0.120551549
241	0.1204523848
242	0.1203206841
243	0.1200845546
244	0.1198792525
245	0.1195988468
246	0.1193358439
247	0.1191816163
248	0.1191050167
249	0.1189660808
250	0.1187538454
251	0.1185148084
252	0.1183434836
253	0.1182670913
254	0.1179060003
255	0.11779268
256	0.1175031694
257	0.1172534286
258	0.1169959416
259	0.1167816632
260	0.116558208
261	0.1164633682
262	0.1163222928
263	0.1161370554
264	0.115978824
265	0.1158169199
266	0.1156216325
267	0.1154437499
268	0.1152580731
269	0.1150773613
270	0.1148371249
271	0.1146803749
272	0.1144502291
273	0.1142683192
274	0.1141232003
275	0.1139798219
276	0.113812381
277	0.1136423114
278	0.1134412778
279	0.1133222321
280	0.1131272329
281	0.1129069467
282	0.1127330331
283	0.1125997675
284	0.1124393955
285	0.112187025
286	0.1120527839
287	0.1118771102
288	0.1117265905
289	0.1115626695
290	0.1113977892
291	0.111211443
292	0.1110404771
293	0.1109165369
294	0.1107713789
295	0.1106081808
296	0.1105641681
297	0.1104792814
298	0.1103258293
299	0.1101972337
300	0.1100470634
301	0.1098758747
302	0.1096171
303	0.1094424221
304	0.1092710617
305	0.1090536318
306	0.1089410346
307	0.1088722711
308	0.1087111296
309	0.1085851618
310	0.1085006852
311	0.1083454458
312	0.1082327779
313	0.1080647649
314	0.1079452496
315	0.10786702
316	0.1077562399
317	0.1076240179
318	0.1075078127
319	0.1074096684
320	0.1072646043
321	0.1070669399
322	0.1069624767
323	0.106792804
324	0.1065851883
325	0.1064591185
326	0.1063532034
327	0.1061961316
328	0.106055284
329	0.1059228209
330	0.105732864
331	0.1055846647
332	0.1054370041
333	0.105366167
334	0.1052516504
335	0.1051274945
336	0.1050099655
337	0.1048643609
338	0.1047377298
339	0.1046617399
340	0.1044129153
341	0.1043367371
342	0.104265056
343	0.1041142406
344	0.1038938101
345	0.1036897711
346	0.1034906903
347	0.1034574966
348	0.1033563241
349	0.1032572541
350	0.1031057328
351	0.1030745691
352	0.1029269036
353	0.1028115529
354	0.1026945487
355	0.1025921131
356	0.1025038478
357	0.1024242471
358	0.1023774659
359	0.1022459273
360	0.102133965
361	0.102049475
362	0.101979449
363	0.1018776397
364	0.1017155593
365	0.1016888026
366	0.101581559
367	0.1014131468
368	0.1012412866
369	0.1011525979
370	0.1009912085
371	0.1008495831
372	0.1007536524
373	0.1006340203
374	0.1005034576
375	0.1003745966
376	0.1002692609
377	0.1001493611
378	0.1000149132
379	0.09983062888
380	0.09974190568
381	0.09961731053
382	0.09947628538
383	0.09937522049
384	0.0991632337
385	0.09906297187
386	0.09895876557
387	0.09882459897
388	0.09869863897
389	0.09853025832
390	0.0983823072
391	0.09823268777
392	0.09809100394
393	0.09796702458
394	0.09785429645
395	0.0977915291
396	0.09769124291
397	0.09761059591
398	0.09750008189
399	0.0973313494
400	0.09725680107
401	0.09710938327
402	0.09701849806
403	0.09689905787
404	0.09678249891
405	0.09669843673
406	0.09663942338
407	0.09654615029
408	0.09640109912
409	0.09626144398
410	0.09616040101
411	0.09608477899
412	0.09593072637
413	0.09583223944
414	0.09573324712
415	0.0955989575
416	0.09551215125
417	0.09538862957
418	0.09523755318
419	0.09516479837
420	0.09505617509
421	0.09495670521
422	0.09482266643
423	0.09472055125
424	0.09459638824
425	0.09445661441
426	0.094396685
427	0.09427928141
428	0.09420773979
429	0.0941424722
430	0.09404457192
431	0.09399298942
432	0.09388722996
433	0.093801629
434	0.09370287279
435	0.09351871591
436	0.09342494272
437	0.09328968047
438	0.09323381149
439	0.0930605743
440	0.09294677351
441	0.09287725427
442	0.09278853722
443	0.09274142628
444	0.09268840825
445	0.09260716646
446	0.09248113667
447	0.09240270429
448	0.09228478542
449	0.09213601147
450	0.09199681424
451	0.09184864108
452	0.09169154603
453	0.09165084937
454	0.09150636259
455	0.09148937329
456	0.09140424623
457	0.0912913398
458	0.09122719639
459	0.091133223
460	0.09111997457
461	0.09101140951
462	0.09090395562
463	0.09084829298
464	0.09083515501
465	0.09073819332
466	0.09069321471
467	0.09059200708
468	0.09050526837
469	0.09043359786
470	0.09031486989
471	0.09026698814
472	0.09019597404
473	0.09011777171
474	0.09005743898
475	0.08992388094
476	0.0897984871
477	0.08972798058
478	0.08970805012
479	0.08966742856
480	0.0895407767
481	0.08946529758
482	0.08938574789
483	0.08932030935
484	0.08925148027
485	0.08913330907
486	0.08905857323
487	0.08900791558
488	0.0889218939
489	0.08883094866
490	0.08874276609
491	0.08868805427
492	0.08859757744
493	0.08852181134
494	0.08841634187
495	0.08835323764
496	0.08824809913
497	0.08821343973
498	0.08810646437
499	0.08802848028
500	0.08798813228
501	0.08792135726
502	0.08780490739
503	0.08774584699
504	0.08762178302
505	0.08747768359
506	0.08742526105
507	0.08739762603
508	0.08724986296
509	0.08723378814
510	0.08710441478
511	0.08699497716
512	0.08689891558
513	0.08684215923
514	0.08672879496
515	0.08665563726
516	0.08659011887
517	0.08649963172
518	0.08640352909
519	0.08636830385
520	0.0862755629
521	0.08617656102
522	0.08613884032
523	0.08607725329
524	0.08599512257
525	0.0858986626
526	0.08582224765
527	0.08575742375
528	0.08562498298
529	0.08556544651
530	0.0855105283
531	0.08544985022
532	0.08541050466
533	0.08537321266
534	0.08526837516
535	0.08525735266
536	0.08519679813
537	0.08512318908
538	0.08501330148
539	0.08493195745
540	0.08485272049
541	0.08479071319
542	0.08474753152
543	0.08467089922
544	0.08460884113
545	0.08457342592
546	0.08448824642
547	0.0843617172
548	0.08429429632
549	0.08417879443
550	0.08408984926
551	0.08397656854
552	0.08386203256
553	0.08377923979
554	0.08373256182
555	0.08367008683
556	0.08362345235
557	0.08358438902
558	0.08353184596
559	0.08346772773
560	0.08340642586
561	0.08334125199
562	0.08332962769
563	0.08332182702
564	0.08325841684
565	0.08314788149
566	0.08311552383
567	0.08303199404
568	0.0830246998
569	0.08296936645
570	0.08288436774
571	0.08281478187
572	0.08270661703
573	0.08270056909
574	0.08257729624
575	0.0824831597
576	0.08232118186
577	0.08222127137
578	0.08215888662
579	0.08211633482
580	0.08202996167
581	0.08191445246
582	0.08181660872
